Campaign name,Age,Gender,Unnamed: 3,"Impressions (May 1, 2025 - May 31, 2025)","Impressions (Apr 1, 2025 - Apr 30, 2025)",Impressions Change,Impressions Change(%),"Frequency (May 1, 2025 - May 31, 2025)","Frequency (Apr 1, 2025 - Apr 30, 2025)",Frequency Change,Frequency Change(%),amount_spent,"Amount spent (INR) (Apr 1, 2025 - Apr 30, 2025)",Amount spent (INR) Change,Amount spent (INR) Change(%),Result type,"Cost per result (May 1, 2025 - May 31, 2025)","Cost per result (Apr 1, 2025 - Apr 30, 2025)",Cost per result Change,Cost per result Change(%),results,"Results (Apr 1, 2025 - Apr 30, 2025)",Results Change,Results Change(%),"CPM (cost per 1,000 impressions) (May 1, 2025 - May 31, 2025)","CPM (cost per 1,000 impressions) (Apr 1, 2025 - Apr 30, 2025)","CPM (cost per 1,000 impressions) Change","CPM (cost per 1,000 impressions) Change(%)","CTR (all) (May 1, 2025 - May 31, 2025)","CTR (all) (Apr 1, 2025 - Apr 30, 2025)",CTR (all) Change,CTR (all) Change(%),"CPC (all) (May 1, 2025 - May 31, 2025)","CPC (all) (Apr 1, 2025 - Apr 30, 2025)",CPC (all) Change,CPC (all) Change(%),"Clicks (all) (May 1, 2025 - May 31, 2025)","Clicks (all) (Apr 1, 2025 - Apr 30, 2025)",Clicks (all) Change,Clicks (all) Change(%),Reporting starts,Reporting ends,roi
,,unknown,,1544.0,1109.0,435.0,39.0,1.21,1.73,-0.53,-30.39,55.44,72.73,-17.29,-23.78,,,,,,,,,,35.9,65.58,-29.68,-45.25,0.32,0.54,-0.22,-40.14,11.09,12.12,-1.03,-8.53,5.0,6.0,-1.0,-16.67,2025-05-01,2025-05-31,
,65+,All,,232333.0,140846.0,91487.0,65.0,2.79,2.51,0.28,11.12,12079.74,18629.53,-6549.78,-35.16,Meta Leads,377.49,809.98,-432.49,-53.39,32.0,23.0,9.0,39.13,51.99,132.27,-80.28,-60.69,0.59,0.52,0.07,12.71,8.88,25.45,-16.57,-65.13,1361.0,732.0,629.0,85.93,2025-05-01,2025-05-31,0.0026490636387869275
,,male,,166197.0,107302.0,58895.0,55.0,2.68,2.47,0.22,8.77,8887.28,15275.47,-6388.19,-41.82,Meta Leads,423.2,763.77,-340.57,-44.59,21.0,20.0,1.0,5.0,53.47,142.36,-88.89,-62.44,0.57,0.51,0.06,11.84,9.35,27.82,-18.48,-66.41,951.0,549.0,402.0,73.22,2025-05-01,2025-05-31,0.002362927689911874
,,female,,64625.0,32688.0,31937.0,98.0,3.04,2.66,0.38,14.3,3118.18,3260.09,-141.91,-4.35,Meta Leads,283.47,1086.7,-803.22,-73.91,11.0,3.0,8.0,266.67,48.25,99.73,-51.48,-51.62,0.62,0.55,0.07,13.03,7.8,18.21,-10.42,-57.2,400.0,179.0,221.0,123.46,2025-05-01,2025-05-31,0.003527698849970175
,,unknown,,1511.0,855.0,656.0,77.0,0.0,3.34,-3.34,-100.0,74.28,93.97,-19.69,-20.95,,,,,,,,,,49.16,109.91,-60.75,-55.27,0.66,0.47,0.19,41.46,7.43,23.49,-16.06,-68.38,10.0,4.0,6.0,150.0,2025-05-01,2025-05-31,
,45-54,All,,199677.0,237437.0,-37760.0,-16.0,2.2,2.62,-0.42,-16.05,8089.24,24956.43,-16867.19,-67.59,Meta Leads,385.2,1919.73,-1534.52,-79.93,21.0,13.0,8.0,61.54,40.51,105.11,-64.6,-61.46,0.38,0.32,0.07,21.61,10.56,33.32,-22.76,-68.31,766.0,749.0,17.0,2.27,2025-05-01,2025-05-31,0.0025960411608507102
,,male,,158443.0,184853.0,-26410.0,-14.0,2.23,2.56,-0.33,-12.77,6301.79,18009.2,-11707.41,-65.01,Meta Leads,393.86,1800.92,-1407.06,-78.13,16.0,10.0,6.0,60.0,39.77,97.42,-57.65,-59.18,0.36,0.28,0.08,28.68,11.09,34.97,-23.87,-68.27,568.0,515.0,53.0,10.29,2025-05-01,2025-05-31,0.002538961152307519
,,female,,40525.0,51467.0,-10942.0,-21.0,2.06,2.83,-0.78,-27.42,1759.45,6842.21,-5082.76,-74.29,Meta Leads,439.86,2280.74,-1840.87,-80.71,4.0,3.0,1.0,33.33,43.42,132.94,-89.53,-67.34,0.48,0.45,0.03,5.65,9.12,29.49,-20.38,-69.09,193.0,232.0,-39.0,-16.81,2025-05-01,2025-05-31,0.0022734377220154024
,,unknown,,709.0,1117.0,-408.0,-37.0,0.0,8.73,-8.73,-100.0,28.0,105.02,-77.02,-73.34,Meta Leads,28.0,,,,1.0,,,,39.49,94.02,-54.53,-58.0,0.71,0.18,0.53,293.86,5.6,52.51,-46.91,-89.34,5.0,2.0,3.0,150.0,2025-05-01,2025-05-31,0.03571428571428571
,55-64,All,,140397.0,183630.0,-43233.0,-24.0,2.47,2.82,-0.35,-12.55,7259.31,24382.56,-17123.25,-70.23,Meta Leads,453.71,1161.07,-707.37,-60.92,16.0,21.0,-5.0,-23.81,51.71,132.78,-81.08,-61.06,0.48,0.42,0.06,13.2,10.85,31.54,-20.69,-65.6,669.0,773.0,-104.0,-13.45,2025-05-01,2025-05-31,0.002204066226679946
